_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/reverseWeight,"""0.0""^^xsd:double"
_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/weight,"""0.5""^^xsd:double"
_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/fraction,"""0.1""^^xsd:double"
_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/how,below
_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/relation,friendly
_:0f23ebd7-49d8-41d3-b58b-dcfe83ad27a9,http://microrts.com/game/unit/unit,http://microrts.com/game/unit/6
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/reverseWeight,"""1.0""^^xsd:double"
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/weight,"""3.0""^^xsd:double"
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/fraction,"""0.0""^^xsd:double"
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/how,below
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/relation,friendly
_:6ba891b0-b2c4-4595-b8a7-970e4e9b375c,http://microrts.com/game/unit/unit,http://microrts.com/game/unit/2
_:adfa70cb-1847-4e88-98b1-1e6b5c5dae03,http://microrts.com/game/unit/unit,http://microrts.com/game/unit/0
_:adfa70cb-1847-4e88-98b1-1e6b5c5dae03,http://microrts.com/game/unit/relation,neutral
_:adfa70cb-1847-4e88-98b1-1e6b5c5dae03,http://microrts.com/game/unit/priority,"""0""^^xsd:long"
_:93d872e4-1a37-4c3e-8ccb-30d73abbafdf,http://microrts.com/game/action/weight,"""0.4""^^xsd:double"
_:93d872e4-1a37-4c3e-8ccb-30d73abbafdf,http://microrts.com/game/action/value,high
_:93d872e4-1a37-4c3e-8ccb-30d73abbafdf,http://microrts.com/game/action/in,target
_:93d872e4-1a37-4c3e-8ccb-30d73abbafdf,http://microrts.com/game/action/statistic,resources
_:870bb638-8e01-40e8-8d62-a9ec244b71e8,http://microrts.com/game/action/weight,"""0.2""^^xsd:double"
_:870bb638-8e01-40e8-8d62-a9ec244b71e8,http://microrts.com/game/action/value,http://microrts.com/game/unit/6
_:870bb638-8e01-40e8-8d62-a9ec244b71e8,http://microrts.com/game/action/in,self
_:870bb638-8e01-40e8-8d62-a9ec244b71e8,http://microrts.com/game/action/statistic,unit
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/reverseWeight,"""0.0""^^xsd:double"
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/weight,"""0.3""^^xsd:double"
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/fraction,"""0.1""^^xsd:double"
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/how,below
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/relation,friendly
_:10c05771-5bd8-46d6-b6d4-7ac81f424be5,http://microrts.com/game/unit/unit,http://microrts.com/game/unit/5
http://microrts.com/game/action/4,http://www.w3.org/2000/01/rdf-schema#label,produce
http://microrts.com/game/action/4,http://microrts.com/game/action/describedByInCreates,http://microrts.com/game/rating/costGood
http://microrts.com/game/action/4,http://microrts.com/game/action/creates,http://microrts.com/game/unit/6
http://microrts.com/game/action/4,http://microrts.com/game/action/creates,http://microrts.com/game/unit/1
http://microrts.com/game/action/4,http://microrts.com/game/action/doneBy,http://microrts.com/game/unit/2
http://microrts.com/game/action/4,http://microrts.com/game/action/creates,http://microrts.com/game/unit/5
http://microrts.com/game/action/4,http://microrts.com/game/action/doneBy,http://microrts.com/game/unit/1
